case,time,act1,act2,x,y,z,del_x,del_y,del_z,qx,qy,qz,qw,act1_norm,act2_norm
case7_processed.csv,1749911619.5,0.03172905814222053,0.03695022195735186,0.15761318985,-0.08427440635,1.2065068721499999,-0.013123223650000015,-0.14499106885000002,-0.058876043600000094,0.11674064270990965,-0.03708393785154678,-0.34205988110566504,0.931660582847143,0.3519264666207993,0.4098376004739187
case7_processed.csv,1749911619.6,0.03041461670031262,0.03709219486622726,0.15498854290000003,-0.08540567622,1.2058650660399999,-0.015747870600000016,-0.14612233872000002,-0.0595178497100001,0.1108295677390577,-0.03196953002723568,-0.342813307318519,0.932294906341309,0.3373471894750004,0.41141230918265
case7_processed.csv,1749911619.7,0.029100175258404713,0.037234167775102654,0.15236389595,-0.08653694609,1.20522325993,-0.018372517550000016,-0.14725360859,-0.060159655820000095,0.10491161379947553,-0.026853137918388774,-0.34354545579773715,0.9328713641626325,0.3227679123292016,0.4129870178913812
case7_processed.csv,1749911619.8,0.027785733816496808,0.03737614068397805,0.14973924900000002,-0.08766821595999999,1.20458145382,-0.02099716450000001,-0.14838487845999998,-0.060801461930000085,0.0989871482066813,-0.021735079089190815,-0.3442562811003332,0.9333899205315341,0.3081886351834028,0.4145617266001125
case7_processed.csv,1749911619.9,0.026471292374588902,0.037518113592853446,0.14711460205,-0.08879948583,1.20393964771,-0.02362181145000001,-0.14951614833,-0.06144326804000009,0.09305653868035833,-0.01661567120727657,-0.34494573910680804,0.9338505432622614,0.2936093580376039,0.4161364353088437
case7_processed.csv,1749911620.0,0.025156850932680993,0.03766008650172884,0.1444899551,-0.08993075569999999,1.2032978416,-0.026246458400000006,-0.1506474182,-0.062085074150000086,0.08712015332153161,-0.01149523202401379,-0.3456137870238876,0.9342532037648861,0.2790300808918051,0.417711144017575
case7_processed.csv,1749911620.1,0.020980969796041346,0.038791069234516945,0.14166688176,-0.08722159603,1.20316938167,-0.02906953174000001,-0.14793825852999998,-0.06221353408000008,0.09176130984550131,-0.0021316595449702856,-0.3462486836864938,0.9336418837479351,0.23271281906642177,0.4302555679703811
case7_processed.csv,1749911620.2,0.016805088659401696,0.03992205196730504,0.13884380842000002,-0.08451243636,1.20304092174,-0.03189260508000001,-0.14522909886000002,-0.06234199401000007,0.0963923732099639,0.007232147403043186,-0.3468454951997111,0.9329278690716442,0.18639555724103846,0.44279999192318736
case7_processed.csv,1749911620.3,0.012629207522762045,0.04105303470009314,0.13602073508,-0.08180327669,1.20291246181,-0.03471567842000001,-0.14251993919,-0.06247045394000006,0.10101283402745206,0.016595158860915542,-0.34740415591807544,0.9321112382730792,0.1400782954156551,0.4553444158759935
case7_processed.csv,1749911620.4,0.008453326386122397,0.042184017432881235,0.13319766174,-0.07909411702,1.20278400188,-0.03753875176000001,-0.13981077951999998,-0.06259891387000005,0.10562218407671102,0.02595634495703457,-0.3479246043924668,0.9311920811764254,0.0937610335902718,0.4678888398287997
case7_processed.csv,1749911620.5,0.00427744524948275,0.04331500016566933,0.1303745884,-0.07638495735,1.20265554195,-0.04036182510000001,-0.13710161985,-0.06272737380000004,0.11021991635859972,0.03531467602056617,-0.3484067833768684,0.9301704988831079,0.04744377176488848,0.4804332637816059
case7_processed.csv,1749911620.6,0.00010156411284309788,0.044445982898457435,0.12755151506,-0.07367579767999999,1.20252708202,-0.043184898440000015,-0.13439246018,-0.06285583373000003,0.11480552515185757,0.044669122694711696,-0.34885063983466374,0.9290466037606707,0.0011265099395051242,0.49297768773441203
case7_processed.csv,1749911620.7,-0.004074317023796549,0.04557696563124554,0.12472844172,-0.07096663801,1.20239862209,-0.04600797178000002,-0.13168330051,-0.06298429366000002,0.11937850606873046,0.05401865604993058,-0.34925612494447034,0.9278205194304177,-0.04519075188587818,0.5055221116872182
case7_processed.csv,1749911620.8,-0.0082501981604362,0.04670794836403363,0.12190536838,-0.06825747834,1.20227016216,-0.04883104512000001,-0.12897414084,-0.06311275359000001,0.1239383561104502,0.06336224769711597,-0.349623194105509,0.926492380753814,-0.0915080137112615,0.5180665356400245
case7_processed.csv,1749911620.9,-0.012426079297075846,0.04783893109682173,0.11908229504,-0.06554831867000001,1.20214170223,-0.05165411846000002,-0.12626498117,-0.06324121352,0.12848457372256128,0.07269886990071113,-0.34995180694251066,0.925062333817653,-0.1378252755366448,0.5306109595928306
case7_processed.csv,1749911621.0,-0.016601960433715493,0.04896991382960983,0.1162592217,-0.062839159,1.2020132423,-0.05447719180000002,-0.12355582150000001,-0.06336967345,0.13301665885008854,0.08202749569175367,-0.3502419273101567,0.9235305359179876,-0.18414253736202812,0.5431553835456367
case7_processed.csv,1749911621.1,-0.017829850413610994,0.04924842463715029,0.11670587991,-0.061925301270000004,1.2023067010100001,-0.05403053359000003,-0.12264196377,-0.06307621474,0.13616184148669788,0.08223488895485855,-0.3501371807834353,0.923093348797705,-0.19776181909698434,0.5462445179275677
case7_processed.csv,1749911621.2,-0.019057740393506495,0.04952693544469075,0.11715253812000001,-0.06101144354000001,1.2026001597200002,-0.05358387538000002,-0.12172810604000002,-0.06278275603000001,0.13930564381120644,0.08244144857902978,-0.3500288848145038,0.9226468040122674,-0.21138110083194056,0.5493336523094987
case7_processed.csv,1749911621.3,-0.020285630373401992,0.049805446252231204,0.11759919633,-0.06009758581,1.20289361843,-0.053137217170000015,-0.12081424831000001,-0.06248929732000002,0.1424480339539777,0.08264717247031261,-0.3499170405011899,0.9221909060884289,-0.22500038256689675,0.5524227866914295
case7_processed.csv,1749911621.4,-0.021513520353297493,0.05008395705977166,0.11804585454,-0.05918372808,1.20318707714,-0.052690558960000015,-0.11990039058,-0.062195838610000026,0.1455889800596909,0.08285205854322421,-0.3498016489772917,0.9217256596477592,-0.23861966430185297,0.5555119210733604
case7_processed.csv,1749911621.5,-0.02274141033319299,0.05036246786731212,0.11849251275,-0.05826987035,1.20348053585,-0.052243900750000016,-0.11898653284999999,-0.061902379900000026,0.14872845028766385,0.083056104720775,-0.34968271141256685,0.9212510694065962,-0.2522389460368092,0.5586010554552914
case7_processed.csv,1749911621.6,-0.02396930031308849,0.05064097867485258,0.11893917096,-0.057356012619999994,1.2037739945600001,-0.05179724254000001,-0.11807267512,-0.061608921190000034,0.1518664128121758,0.08325930893448966,-0.3495602290127197,0.9207671401759991,-0.2658582277717654,0.5616901898372224
case7_processed.csv,1749911621.7,-0.025197190292983992,0.050919489482393034,0.11938582917,-0.05644215489,1.20406745327,-0.05135058433000002,-0.11715881738999999,-0.06131546248000004,0.15500283582279004,0.08346166912442814,-0.3494342030193902,0.9202738768616989,-0.27947750950672157,0.5647793242191533
case7_processed.csv,1749911621.8,-0.026425080272879493,0.051198000289933494,0.11983248738,-0.05552829716,1.20436091198,-0.05090392612000002,-0.11624495966000001,-0.06102200377000004,0.15813768752467627,0.08366318323920642,-0.34930463471014,0.919771284464049,-0.2930967912416778,0.5678684586010843
case7_processed.csv,1749911621.9,-0.02765297025277499,0.05147651109747395,0.12027914559,-0.054614439429999995,1.20465437069,-0.05045726791000001,-0.11533110193,-0.06072854506000005,0.16127093613893315,0.08386384923601746,-0.349171525398441,0.9192593680779744,-0.306716072976634,0.5709575929830152
case7_processed.csv,1749911622.0,-0.028880860232670492,0.05175502190501441,0.1207258038,-0.05370058169999999,1.2049478294,-0.050010609700000014,-0.11441724419999999,-0.060435086350000056,0.16440254990291014,0.08406366508065184,-0.3490348764336607,0.9187381328929198,-0.3203353547115902,0.5740467273649461
case7_processed.csv,1749911622.2,-0.02745273001088336,0.04703736923792383,0.12428555718,-0.04662147191,1.20829909816,-0.04645085632000002,-0.10733813441,-0.05708381759000005,0.18899423408049723,0.08313761764584601,-0.3474738513742647,0.9146754826864197,-0.30449508549921356,0.5217203448284241
case7_processed.csv,1749911622.4,-0.02602459978909623,0.04231971657083325,0.12784531056,-0.03954236212,1.21165036692,-0.04289110294000002,-0.10025902462,-0.05373254883000005,0.2134678818297214,0.08215964657698192,-0.34569581137488764,0.9100415715226067,-0.2886548162868369,0.46939396229190217
case7_processed.csv,1749911622.6,-0.02459646956730909,0.03760206390374266,0.13140506394,-0.03246325232999999,1.21500163568,-0.039331349560000006,-0.09317991482999999,-0.05038128007000004,0.23780820812359027,0.08113036266630183,-0.3437018669111589,0.9048392935126467,-0.27281454707446023,0.4170675797553802
case7_processed.csv,1749911622.8,-0.023168339345521954,0.03288441123665208,0.13496481732,-0.025384142539999995,1.21835290444,-0.03577159618000001,-0.08610080503999999,-0.04703001131000004,0.2620000112010824,0.08005040875350497,-0.3414932633019317,0.8990718977414582,-0.2569742778620836,0.3647411972188582
case7_processed.csv,1749911623.0,-0.021740209123734824,0.028166758569561502,0.13852457070000002,-0.018305032749999995,1.2217041732,-0.032211842800000015,-0.07902169525,-0.04367874255000004,0.2860281820614136,0.07892045932426167,-0.3390713799315188,0.8927429862384952,-0.24113400864970697,0.3124148146823363
case7_processed.csv,1749911623.2,-0.020312078901947687,0.023449105902470915,0.14208432408000002,-0.011225922959999989,1.22505544196,-0.028652089420000013,-0.07194258545999999,-0.04032747379000003,0.3098777139003697,0.07774122008896306,-0.33643772938819755,0.8858565117280981,-0.22529373943733028,0.2600884321458143
case7_processed.csv,1749911623.4,-0.018883948680160554,0.018731453235380335,0.14564407746000002,-0.0041468131699999924,1.22840671072,-0.025092336040000014,-0.06486347566999999,-0.03697620503000003,0.3335337114828126,0.0765134275419694,-0.33359395651952223,0.8784167751608178,-0.20945347022495364,0.2077620496092923
case7_processed.csv,1749911623.6,-0.01745581845837342,0.014013800568289755,0.14920383084000002,0.002932296620000007,1.23175797948,-0.021532582660000014,-0.057784365879999994,-0.03362493627000002,0.3569814004455052,0.07523784850163218,-0.33054183740503373,0.870428423027256,-0.193613201012577,0.15543566707277034
