Time,RigidBody,x,y,z,qx,qy,qz,qw
1749908877,snake_tip,0.19856745,-0.113494135,1.223502994,-0.119655132,-0.259816021,-0.256468922,0.923256218
1749908877,ST_C,0.186711878,0.012211041,1.707662582,0.159156516,-0.046377804,-0.272537947,0.947755992
1749908877,ST_A,0.125456259,-0.14082928,1.722486019,-0.028698752,-0.114389874,-0.45063445,0.884884179
1749908877,ST_B,0.199113801,-0.065982431,1.731260896,-0.018392546,0.061418731,-0.119639419,0.990745068
1749908877,ST_D,0.044477366,-0.057113755,1.692177534,0.364720255,0.126707226,0.0667262,0.920039058
1749908877,snake_tip,0.183439851,-0.119135827,1.218800783,-0.146452278,-0.20078215,-0.262664795,0.93233335
1749908877,ST_C,0.186800241,0.012323761,1.707784295,0.15900813,-0.046775743,-0.271620154,0.94802469
1749908877,ST_A,0.126018569,-0.140818611,1.723699212,-0.062666595,-0.062510118,-0.424284399,0.901192605
1749908877,ST_B,0.199263588,-0.062623478,1.725897074,-0.040892735,0.059397485,-0.083625212,0.993884504
1749908877,ST_D,0.044630125,-0.057121046,1.692184806,0.365486711,0.12513189,0.067762919,0.919874847
1749908877,snake_tip,0.154492497,-0.125002414,1.213921189,-0.181248441,-0.120809138,-0.268055022,0.938456595
1749908877,ST_C,0.186598346,0.012272635,1.707926631,0.156857535,-0.047145329,-0.271978766,0.948261857
1749908877,ST_A,0.130180717,-0.141579911,1.723349094,-0.052301139,-0.066929132,-0.393277079,0.915487945
1749908877,ST_B,0.199080288,-0.061766922,1.718351603,0.024254492,0.048883907,-0.07937979,0.995349705
1749908877,ST_D,0.044429127,-0.057183214,1.692166805,0.370945185,0.125138238,0.069937311,0.917523205
1749908877,snake_tip,0.118048392,-0.127368897,1.211628675,-0.209566563,-0.051112041,-0.270540744,0.938230813
1749908877,ST_C,0.186531812,0.012166402,1.707846522,0.156063512,-0.04777972,-0.272045463,0.948342025
1749908877,ST_A,0.126799896,-0.141734377,1.722184181,-0.020119734,-0.106198393,-0.431868434,0.895436645
1749908877,ST_B,0.200221255,-0.065437593,1.710827112,0.098037332,0.044961188,-0.128869563,0.985778689
1749908877,ST_D,0.044346068,-0.057190765,1.692275643,0.373906165,0.127090216,0.070552826,0.916004717
1749908878,snake_tip,0.085328296,-0.125011802,1.211855292,-0.224419102,0.01963152,-0.271449149,0.935716867
1749908878,ST_C,0.186443672,0.011945852,1.707777619,0.15716356,-0.046342973,-0.271456093,0.948400497
1749908878,ST_A,0.130409434,-0.141715884,1.720864534,-0.007001817,-0.119416587,-0.408083647,0.905073702
1749908878,ST_B,0.199242324,-0.073579222,1.703672528,0.07514786,0.052625712,-0.205411419,0.974366188
1749908878,ST_D,0.044197574,-0.057243273,1.6922611,0.364840895,0.124466509,0.067011937,0.920276344
1749908878,snake_tip,0.060630791,-0.117279559,1.213256359,-0.22441408,0.058507837,-0.263740093,0.936299324
1749908878,ST_C,0.186420783,0.011850486,1.707806587,0.159679398,-0.046828698,-0.272466987,0.947666228
1749908878,ST_A,0.127949819,-0.141583368,1.720481396,-0.078824662,-0.050085552,-0.389881074,0.916117251
1749908878,ST_B,0.196549892,-0.088673428,1.691592097,0.10732998,0.102564678,-0.378744572,0.913516998
1749908878,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908878,snake_tip,0.060503516,-0.109447129,1.211758137,-0.211969152,0.067568146,-0.263157159,0.938750207
1749908878,ST_C,0.18643111,0.011779608,1.707782865,0.161315635,-0.048261575,-0.271960974,0.947462559
1749908878,ST_A,0.130524784,-0.141768306,1.719911456,-0.011828819,-0.1229036,-0.399062574,0.908572495
1749908878,ST_B,0.186762199,-0.102361545,1.679489374,0.098591469,0.180293664,-0.547890186,0.810919464
1749908878,ST_D,0.040357389,-0.062862419,1.6871773,0.28915143,-0.058693595,0.1201334,0.947899997
1749908878,snake_tip,0.080555432,-0.104599886,1.208181262,-0.193439975,0.043627508,-0.26191327,0.944499373
1749908878,ST_C,0.186372146,0.011861013,1.707998157,0.16186066,-0.049135014,-0.271398723,0.947485983
1749908878,ST_A,0.128197953,-0.142032355,1.718535185,-0.002574713,-0.121393196,-0.425466478,0.896791637
1749908878,ST_B,0.190461218,-0.098999456,1.677233219,0.17202346,0.175445333,-0.489407837,0.836723864
1749908878,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908878,snake_tip,0.104989037,-0.103314936,1.205682397,-0.181467235,0.023886234,-0.273209572,0.944380999
1749908878,ST_C,0.186578959,0.012084044,1.708434939,0.162094116,-0.052918516,-0.272689164,0.946871579
1749908878,ST_A,0.131337002,-0.140922382,1.717530489,-0.000699728,-0.138633832,-0.393957257,0.908613145
1749908878,ST_B,0.192008451,-0.097438402,1.67837286,0.173165277,0.167660847,-0.474571645,0.846572757
1749908878,ST_D,0.047731124,-0.050745931,1.706489801,0.27154246,0.075197987,-0.023043334,0.959207475
1749908878,snake_tip,0.123188943,-0.103978485,1.205231786,-0.165521085,0.002439193,-0.275011063,0.947082698
1749908878,ST_C,0.186506048,0.012275824,1.708822727,0.164938897,-0.048157442,-0.27305305,0.946529448
1749908878,ST_A,0.128835499,-0.140950993,1.717774153,-0.0033802,-0.143237785,-0.417424738,0.897345066
1749908878,ST_B,0.189430699,-0.09975794,1.676841855,0.174907282,0.185044423,-0.506973267,0.82349503
1749908878,ST_D,0.049086787,-0.050433546,1.713134885,0.272064149,0.14818643,-0.046074055,0.949683666
1749908878,snake_tip,0.122110136,-0.104348138,1.204828739,-0.161733314,-0.001233585,-0.273574561,0.948154926
1749908878,ST_C,0.186697856,0.012336545,1.708541274,0.160829589,-0.0505335,-0.271832049,0.947463751
1749908878,ST_A,0.130947709,-0.14114581,1.716109514,-0.003561187,-0.128227547,-0.392339051,0.910832107
1749908878,ST_B,0.189234629,-0.100274391,1.677015424,0.159865811,0.191058174,-0.50847435,0.824253321
1749908878,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908878,snake_tip,0.103048809,-0.101786189,1.204389691,-0.160542637,0.021269776,-0.275755882,0.947487414
1749908878,ST_C,0.186654508,0.012249975,1.708305001,0.159739077,-0.04890994,-0.273017079,0.947392702
1749908878,ST_A,0.130013779,-0.140890345,1.715465903,0.010050417,-0.152290151,-0.409832329,0.899302065
1749908878,ST_B,0.188896775,-0.100614093,1.677969098,0.173086464,0.170705169,-0.509737849,0.825268567
1749908878,ST_D,0.049032435,-0.053859815,1.710756063,0.268595457,0.147014007,-0.006916366,0.95194304
1749908878,snake_tip,0.079817012,-0.09625522,1.20418942,-0.152234793,0.054722875,-0.269403487,0.949342728
1749908878,ST_C,0.186625794,0.012017194,1.70776546,0.160775885,-0.046597734,-0.271905869,0.947653413
1749908878,ST_A,0.131658435,-0.141249225,1.713592887,0.004543609,-0.130959183,-0.386563331,0.912906289
1749908878,ST_B,0.187665954,-0.100955337,1.677405477,0.144976526,0.168682873,-0.517002523,0.82658112
1749908878,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908878,snake_tip,0.066304967,-0.089699499,1.205281973,-0.148374572,0.070247538,-0.266434878,0.949769795
1749908878,ST_C,0.186576277,0.012074661,1.707926989,0.160553277,-0.049439806,-0.272626251,0.947340131
1749908878,ST_A,0.131557122,-0.141015083,1.713045001,0.009415201,-0.135465547,-0.388853759,0.91123718
1749908878,ST_B,0.187747136,-0.100482799,1.678706765,0.115888126,0.147452369,-0.517075956,0.835140824
1749908878,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.071275093,-0.086758018,1.203219175,-0.153246209,0.069900811,-0.260718286,0.950608015
1749908879,ST_C,0.186643824,0.011880573,1.707875371,0.163446888,-0.046595469,-0.27337867,0.946772397
1749908879,ST_A,0.131616428,-0.141165465,1.711993814,0.008926373,-0.134593949,-0.389531255,0.91108191
1749908879,ST_B,0.18786715,-0.100609735,1.678337932,0.112268709,0.150133923,-0.519536018,0.83362937
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.089148439,-0.085706122,1.20190537,-0.134432495,0.049828485,-0.266053319,0.953236938
1749908879,ST_C,0.186627001,0.012154929,1.708215237,0.161036015,-0.048907615,-0.2725932,0.947295308
1749908879,ST_A,0.131867826,-0.140950993,1.712309837,0.003891476,-0.13445954,-0.383844465,0.913547397
1749908879,ST_B,0.188011423,-0.100459844,1.679001093,0.116655394,0.14383699,-0.519773424,0.833989203
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.111120537,-0.086960934,1.20101285,-0.1216252,0.028917359,-0.270039767,0.954698682
1749908879,ST_C,0.186734065,0.012183208,1.708421826,0.161940396,-0.049526263,-0.27230522,0.947191775
1749908879,ST_A,0.13203603,-0.140885264,1.711710334,0.008829234,-0.133531123,-0.384047687,0.913563848
1749908879,ST_B,0.188170105,-0.100385584,1.679230571,0.127908543,0.136601016,-0.520311475,0.833220005
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.119145796,-0.087010242,1.201085448,-0.118960224,0.020658998,-0.271850675,0.954734981
1749908879,ST_C,0.186630473,0.012230468,1.70876503,0.15980801,-0.051333692,-0.272727907,0.947336078
1749908879,ST_A,0.131911322,-0.140807316,1.711809516,0.012783558,-0.140149102,-0.384763539,0.912223577
1749908879,ST_B,0.188233629,-0.100337125,1.679800868,0.112877235,0.146038637,-0.518525183,0.834903002
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.110482477,-0.08531066,1.200615406,-0.117305025,0.030210895,-0.270762503,0.954994559
1749908879,ST_C,0.186855048,0.012354992,1.708344102,0.161782205,-0.048772328,-0.271125615,0.947596252
1749908879,ST_A,0.132368028,-0.140711203,1.711134076,0.00312971,-0.13051568,-0.378999263,0.91614157
1749908879,ST_B,0.188310146,-0.100307167,1.679266214,0.130949199,0.134208232,-0.520290732,0.833149493
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.09138789,-0.082938522,1.200957775,-0.121761538,0.048144635,-0.271325588,0.953540027
1749908879,ST_C,0.186638683,0.012079963,1.708064914,0.158727497,-0.050186977,-0.271841377,0.947833955
1749908879,ST_A,0.132078066,-0.140920341,1.710652351,0.002043424,-0.127255097,-0.378564805,0.916782737
1749908879,ST_B,0.187964559,-0.100542553,1.678878307,0.136168838,0.1297995,-0.522134721,0.831856668
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.074911006,-0.08166156,1.201906919,-0.12436752,0.070906341,-0.268465638,0.952591896
1749908879,ST_C,0.186683625,0.01206728,1.707866549,0.159873441,-0.04869581,-0.271954775,0.947686613
1749908879,ST_A,0.132073581,-0.140928119,1.710060596,0.03401152,-0.162875175,-0.394725055,0.903607845
1749908879,ST_B,0.187947735,-0.10038577,1.678910732,0.109171897,0.140565798,-0.518966854,0.836059928
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.071239151,-0.077813089,1.200572729,-0.090309866,0.086324252,-0.268640488,0.95510447
1749908879,ST_C,0.186507702,0.01200476,1.708117247,0.157831237,-0.048967499,-0.272757888,0.947784007
1749908879,ST_A,0.132409126,-0.14053829,1.705804825,0.029392362,-0.147017077,-0.381170601,0.912267029
1749908879,ST_B,0.188188091,-0.098970614,1.681349039,0.027786816,0.129523948,-0.510726571,0.849476218
1749908879,ST_D,nan,nan,nan,nan,nan,nan,nan
1749908879,snake_tip,0.079747021,-0.066753834,1.197618365,-0.042898834,0.094093621,-0.268430322,0.95773232
1749908879,ST_C,0.186543286,0.012229857,1.70826602,0.154471889,-0.050252106,-0.27200973,0.948485017
1749908879,ST_A,0.133115619,-0.139094219,1.698916674,0.031978525,-0.126859844,-0.365370363,0.921622694
1749908879,ST_B,0.189325273,-0.097042367,1.683066487,0.001443315,0.113285601,-0.509494841,0.852982581
1749908879,ST_D,0.050106492,-0.055880856,1.711776495,0.178740993,0.148937538,0.005344884,0.972543418
1749908879,snake_tip,0.097106032,-0.039706003,1.196040392,0.015867686,0.094623022,-0.272196561,0.957446456
1749908879,ST_C,0.186473787,0.01229863,1.70859623,0.156217396,-0.051049996,-0.272337049,0.948062539
1749908879,ST_A,0.134045437,-0.139602855,1.688715219,0.077559464,-0.099280342,-0.355032653,0.926325977
1749908879,ST_B,0.190630049,-0.095545463,1.683447719,-0.056035314,0.16101338,-0.484703958,0.857902527
1749908879,ST_D,0.050261572,-0.055434853,1.711240411,0.128383145,0.141532913,-0.002319005,0.981570542
1749908880,snake_tip,0.10742975,-0.013315873,1.196992278,0.058858942,0.094984084,-0.269421846,0.956517398
1749908880,ST_C,0.188661143,0.021778138,1.690741658,-0.06843213,-0.048582844,-0.253190309,0.963769376
1749908880,ST_A,0.13716054,-0.140412807,1.676727533,0.173152149,-0.116134353,-0.337994903,0.917763889
1749908880,ST_B,0.191514745,-0.094876848,1.683074713,-0.027036669,0.145963848,-0.48427546,0.862230182
1749908880,ST_D,0.050752047,-0.0552634,1.711798906,0.134864837,0.149661392,-0.003726486,0.979489207
1749908880,snake_tip,0.108456694,0.008875497,1.199064374,0.09185791,0.102219604,-0.269035399,0.953275084
1749908880,ST_C,0.185864687,0.023238964,1.69198823,-0.021432623,0.02439609,-0.2207371,0.9747926
1749908880,ST_A,0.138599023,-0.139750615,1.676625967,0.17914775,-0.166149333,-0.293275952,0.924277961
1749908880,ST_B,0.191969097,-0.094155684,1.682655454,0.004028083,0.128215089,-0.476392984,0.86982435
1749908880,ST_D,0.050344322,-0.055503234,1.71115768,0.102377743,0.135335818,-0.009536421,0.985450149
1749908880,snake_tip,0.100749396,0.011596098,1.2003268,0.1109327,0.102452457,-0.268435061,0.951388478
1749908880,ST_C,0.187303945,0.017459398,1.706473708,0.035317305,-0.015163593,-0.251217782,0.967167258
1749908880,ST_A,0.136121467,-0.13999401,1.677186966,0.200092092,-0.211535051,-0.318093419,0.902237594
1749908880,ST_B,0.192593455,-0.09363658,1.682366252,-0.016006969,0.143964514,-0.468649834,0.871427178
1749908880,ST_D,0.050515216,-0.055064306,1.711108923,0.108569779,0.138764024,-0.009837621,0.984307051
1749908880,snake_tip,0.094935201,0.003588235,1.202564001,0.141935453,0.094363287,-0.271086812,0.947344661
1749908880,ST_C,0.186728328,0.016423274,1.712535143,0.038841117,-0.015946241,-0.251367539,0.966980577
1749908880,ST_A,0.133766159,-0.140543118,1.678320289,0.193008199,-0.215007409,-0.33200267,0.897938728
1749908880,ST_B,0.193615854,-0.092348941,1.682119131,-0.03793712,0.16380544,-0.446799338,0.878691554
1749908880,ST_D,0.049380165,-0.056467202,1.708021879,0.094513699,0.104091518,0.013616426,0.989973068
