x,y,z,qx,qy,qz,qw,act1,act2
0.065724254,-0.058501333,1.208132148,-0.10922996,0.152479917,-0.262618363,0.946493685,0.010753185299296364,-0.034288745788127906
0.071197674,-0.006774192,1.213991523,0.185863882,0.166656032,-0.268192708,0.930458605,-0.03469739446964093,-0.03412765472296847
0.119007923,0.071735077,1.231366873,0.336154997,0.138550282,-0.221350357,0.904879928,0.00364239455374904,-0.0433199632979589
0.095651083,0.047240987,1.221491694,0.254712969,0.165827096,-0.258327693,0.917000234,-0.002398686252515325,-0.038207230970519646
0.062150992,0.033875473,1.221493959,0.183288306,0.23823002,-0.260276347,0.917555511,-0.006125074077631354,-0.03554256651653387
0.1178701,0.072246321,1.234675765,0.340592176,0.162633747,-0.265519023,0.887156606,-0.000332795199027347,-0.04805866162187333
0.065648369,0.049522202,1.234223962,0.266873479,0.278065592,-0.250836015,0.887997448,-0.016435916073337997,-0.03722480333863948
0.037392076,-0.031065896,1.212920427,0.021248432,0.266104549,-0.266751289,0.926056504,-0.010189790710230073,-0.0279918341042536
-0.001035172,-0.011818683,1.227828622,0.028813006,0.355520397,-0.257470787,0.898044467,-0.006391349514128342,-0.010934672675411095
0.097600259,-0.137288436,1.216575384,-0.259867281,0.007492966,-0.266031593,0.928245664,0.004456028792511946,0.008742046484903732
0.246237323,-0.118410826,1.24263382,-0.118492603,-0.341096193,-0.260896385,0.895290971,0.029267250456035843,0.0012754226755569142
0.235654697,-0.107982822,1.237863302,-0.073669255,-0.363913596,-0.24980709,0.894279659,0.024126794175791,0.0033191509851540624
0.085328296,-0.125011802,1.211855292,-0.224419102,0.01963152,-0.271449149,0.935716867,-0.0004360839475058276,0.01664082111991788
0.071275093,-0.086758018,1.203219175,-0.153246209,0.069900811,-0.260718286,0.950608015,0.0008502814450972451,-0.02442916836973147
0.10742975,-0.013315873,1.196992278,0.058858942,0.094984084,-0.269421846,0.956517398,0.008177592255224686,-0.02352160741103959
0.097692847,0.009231811,1.205084085,0.170022786,0.096578144,-0.268671811,0.943175673,-0.005948449806196798,-0.020705706948109415
0.124819949,0.018947814,1.205144167,0.182341918,0.072475225,-0.267788798,0.943285763,0.0007242707398079085,-0.03258893619998726
0.116534963,-0.090072967,1.203479171,-0.156279474,0.001351525,-0.272684544,0.949325025,0.016233899233508153,-0.03218652523884591
0.084373191,-0.217664003,1.256961584,-0.445542604,-0.014757746,-0.246773303,0.860451579,-0.007883868539382333,-0.015970989581428507
0.071676716,-0.209309757,1.254941821,-0.443063706,0.007067373,-0.247950166,0.86149019,-0.006553375067484213,-0.0011184681677474106
0.179930791,-0.193275794,1.253653169,-0.347764254,-0.234242693,-0.254847914,0.871345401,0.012914380490512078,0.023109943318723236
0.206432864,-0.225917652,1.283199787,-0.335429251,-0.389602154,-0.218437716,0.829446971,0.014040680442488407,0.01789166995963798
0.146804154,-0.241729334,1.274872661,-0.449567288,-0.193198562,-0.221949399,0.843387246,-0.005051199174476828,0.01590932869533651
0.080683589,-0.235860005,1.271580458,-0.492050797,-0.020232508,-0.241466135,0.836164355,-0.009590465412054217,-0.02260311089556244
0.050896868,-0.229870632,1.273083925,-0.497834384,0.023903983,-0.2311095,0.835570395,-0.010326504212487875,-0.009828762692646709
0.062785909,-0.230803326,1.271603465,-0.494989842,0.007684216,-0.234115556,0.836729288,-0.009085078657497636,-0.020508549528619024
0.100251123,-0.038658995,1.196580887,0.014494175,0.094490275,-0.272706896,0.957336128,-0.0024668014007880323,-0.02527556879550269
0.085967742,-0.010580345,1.198157191,0.05014357,0.127310514,-0.268994421,0.953372777,0.004945582314882069,-0.02554803795010968
0.093042724,-0.01610476,1.19713974,0.040142763,0.115778953,-0.268489301,0.955456614,0.0035697145495170446,-0.027829694028796592
0.089133449,-0.036743779,1.19652915,0.017048854,0.116648607,-0.270320356,0.955525696,-0.007307359627314047,-0.027940928310066115
0.077902928,-0.091802478,1.197447777,-0.018302446,0.123177998,-0.344524682,0.930480957,0.0,0.0
0.078234628,-0.089482218,1.197639108,-0.012187215,0.121117339,-0.34750098,0.929744661,-0.001712708319755396,0.001317775049531622
0.079716772,-0.087745257,1.197638392,-0.013389995,0.118938595,-0.342919946,0.931708217,-0.001166758861843864,0.0011552568841795563
0.078686602,-0.090453535,1.197493315,-0.014817175,0.118814848,-0.342298359,0.931930959,-0.0005373556885190922,0.0008739564802928146
0.078779608,-0.089073181,1.197523713,-0.01265878,0.119587556,-0.344556153,0.931031406,-0.0013118144187514447,0.0012528580793267907
0.079916038,-0.089574039,1.197232962,-0.024032712,0.115558729,-0.342778265,0.931971848,-0.005160471383386878,0.0005639623122285498
0.083095238,-0.153502584,1.203599453,-0.16391997,0.053143352,-0.338501215,0.925053,-0.017979676347549933,-0.01570184999977353
0.079985373,-0.188099444,1.214112759,-0.252260089,0.024814857,-0.330234796,0.909227192,-0.024128451258216776,-0.022875809404134917
0.077220589,-0.205053195,1.222889662,-0.311142594,0.013924831,-0.321045846,0.894385815,-0.03200900102971893,-0.026097051060000487
0.071405962,-0.237138674,1.240264654,-0.395408213,0.010160769,-0.31295377,0.863486588,-0.03379857104337419,-0.03244046204424833
0.036614165,-0.190228477,1.235174179,-0.33536303,0.1904957,-0.315678,0.866943181,-0.030359866735184204,-0.005141468540047711
0.012221764,-0.125618711,1.224598646,-0.168932021,0.272047341,-0.329711407,0.88811183,-0.01735948214116545,0.005823489425807182
0.06370756,-0.140683636,1.204083204,-0.151271194,0.092000954,-0.340878695,0.92328465,-0.014981610010313062,-0.016437582176486498
0.145798981,-0.132577196,1.198274493,-0.035596926,-0.073387519,-0.344005585,0.935418248,0.014581496730512011,-0.017100511900878745
0.159221634,-0.091125101,1.197917938,0.066574238,-0.073073454,-0.341310382,0.9347381,0.03438675230320143,-0.01783419090254057
0.110713772,-0.067274243,1.196954608,0.071071588,0.06971886,-0.348657459,0.93194741,0.009557765593936729,-0.007249404644990909
-0.005580752,-0.087260939,1.228515387,-0.030894745,0.336306065,-0.332484812,0.880566657,0.022065282640001738,-0.012326919672536407
0.022661179,-0.087925933,1.218426466,-0.024421506,0.302292317,-0.333643228,0.89258343,0.01548660651061301,0.0023874832679315894
0.054239091,-0.143737867,1.215920687,-0.241897717,0.119489014,-0.333847851,0.903190732,-0.03286473263399564,-0.011426042218725896
0.054434381,-0.216027692,1.233086705,-0.34118095,0.087730244,-0.323239654,0.878302395,-0.027959468534913323,-0.024030921465671318
0.058932431,-0.211732045,1.231383085,-0.350625485,0.070993453,-0.326445043,0.874903023,-0.029742120400126804,-0.024799658642904676
0.087837979,-0.174282029,1.208538055,-0.224872887,0.02762874,-0.337291867,0.913730323,-0.018856410448215344,-0.03586334220930021
0.101250418,-0.123727754,1.194893003,-0.071100682,0.045379896,-0.345047772,0.934787393,0.000785185306369951,-0.019954261281798225
0.110482305,-0.068547249,1.200100303,0.109451011,0.065095454,-0.346703798,0.929289818,0.015510850254006947,-0.020320662288974223
0.121178336,-0.01432324,1.210193038,0.182198003,0.110846497,-0.344450712,0.914259613,-0.005219672261192965,-0.005518666634060199
0.028769968,-0.064147599,1.221682668,0.079994813,0.27584222,-0.339241147,0.895783067,0.01330299824675557,-0.01613310811812474
0.018309778,-0.049838811,1.23043108,0.055660859,0.352261543,-0.333085209,0.872850478,0.014685051594365173,-0.014000302895778916
0.033839695,-0.045879301,1.224339604,0.078398012,0.317341626,-0.331016004,0.885198534,0.011585883059680169,-0.009238759305872701
0.056255318,-0.03990709,1.216971397,0.112633973,0.248422503,-0.338355929,0.900619328,0.007810345625120452,-0.00922133088064292
0.074276619,-0.042387269,1.212119937,0.125146613,0.200113237,-0.339523107,0.910503805,0.005323385884353271,-0.009669989149759584
0.120544806,-0.042924996,1.20511055,0.174818739,0.062040936,-0.34247002,0.921033978,0.019485336603035086,-0.030493317539888043
0.185431406,-0.09418615,1.207089901,0.130697012,-0.108622551,-0.337201625,0.925966799,0.03210181936731937,-0.02213379906334556
