case,actuation_pattern,del_x,del_y,del_z,del_qx,del_qy,del_qz,del_qw
6,"(1, 0, 0, 1)",0.02334749,-0.031925276,-0.002554774,-0.052798236,-0.077798102,-0.00052309,0.004306436
6,"(1, 0, 0, 1)",0.032579377,0.023255229,0.002652526,0.127753457,-0.058082544,-0.002179116,-0.001191139
6,"(1, 0, 0, 1)",0.043275408,0.077479238,0.012745261,0.200500449,-0.012331501,7.40E-05,-0.016221344
6,"(1, 0, 0, 1)",-0.04913296,0.027654879,0.024234891,0.098297259,0.152664222,0.005283535,-0.03469789
6,"(1, 0, 0, 1)",-0.05959315,0.041963667,0.032983303,0.073963305,0.229083545,0.011439473,-0.057630479
6,"(1, 0, 0, 1)",-0.044063233,0.045923177,0.026891827,0.096700458,0.194163628,0.013508678,-0.045282423
6,"(1, 0, 0, 1)",-0.02164761,0.051895388,0.01952362,0.130936419,0.125244505,0.006168753,-0.029861629
6,"(1, 0, 0, 1)",-0.003626309,0.049415209,0.01467216,0.143449059,0.076935239,0.005001575,-0.019977152
6,"(1, 0, 0, 1)",0.042641878,0.048877482,0.007662773,0.193121185,-0.061137062,0.002054662,-0.009446979
6,"(1, 0, 0, 1)",0.107528478,-0.002383672,0.009642124,0.148999458,-0.231800549,0.007323057,-0.004514158
6,"(1, 0, 0, 1)",0.0937794,-0.030093416,0.00443387,-0.003823662,-0.253276043,0.008474499,0.002072036
6,"(1, 0, 0, 1)",-0.035295054,-0.17997697,0.067935228,-0.46015721,-0.124283133,0.052764327,-0.102259338
6,"(1, 0, 0, 1)",0.072865844,-0.09033224,0.017681122,-0.245730514,-0.211072713,0.014531494,-0.028446853
6,"(1, 0, 0, 1)",0.093428552,-0.067209914,0.006619215,-0.01528774,-0.283212193,0.006395162,-0.003696561
6,"(1, 0, 0, 1)",0.124925494,-0.026281804,0.008914828,0.055516517,-0.315917261,0.00905484,-0.009108782
6,"(1, 0, 0, 1)",0.124654368,-0.000906363,0.008396864,0.088853931,-0.298795171,0.011975974,-0.006580293
6,"(1, 0, 0, 1)",0.005830348,0.00121782,-0.002629638,0.01132124,-0.041814998,0.003990502,0.006198168
6,"(1, 0, 0, 1)",0.00846421,-0.015735492,-0.000649214,-0.00884207,-0.013986066,0.003129781,0.002680242
7,"(0, 1, 1, 0)",-0.010453374,-0.02656877,-0.01430142,-0.034771532,-0.002163499,-0.012408972,0.016721368
7,"(0, 1, 1, 0)",0.004797324,-0.084799816,-0.041696072,-0.15233323,-0.095180668,-0.009193182,0.079071522
7,"(0, 1, 1, 0)",0.018320843,-0.171057753,-0.058173419,-0.397885464,-0.208045989,-0.031692237,0.126067579
7,"(0, 1, 1, 0)",0.020821407,-0.174371421,-0.056638003,-0.401438907,-0.236684605,-0.027112305,0.123622179
7,"(0, 1, 1, 0)",-0.053503186,-0.092941009,-0.05917728,-0.280112922,0.009388142,-0.038113117,0.106945872
7,"(0, 1, 1, 0)",-0.05406449,-0.12226003,-0.065773011,-0.335142106,0.003336244,-0.04184705,0.118435621
7,"(0, 1, 1, 0)",-0.068449311,-0.175058223,-0.075826407,-0.496335615,0.023245096,-0.042378545,0.133165956
7,"(0, 1, 1, 0)",-0.085970946,-0.16581928,-0.074384213,-0.494102292,0.034628228,-0.042917788,0.131641924
7,"(0, 1, 1, 0)",-0.02744864,-0.093008835,-0.060247064,-0.276359364,-0.007787622,-0.031032741,0.110088825
7,"(0, 1, 1, 0)",-0.016566679,-0.009582423,-0.006540061,-0.02337262,0.025830642,-0.011487126,0.007260323
7,"(0, 1, 1, 0)",-0.018147365,-0.01132752,-0.007289052,-0.008627117,0.022494525,-0.007514745,0.0001176
7,"(0, 1, 1, 0)",-0.031125844,-0.101047747,-0.05572927,-0.232595414,-0.019543271,-0.032819063,0.097723901
7,"(0, 1, 1, 0)",-0.073231794,-0.122728434,-0.068100572,-0.382831022,0.045157664,-0.041621178,0.12192744
7,"(0, 1, 1, 0)",-0.060580023,-0.133084219,-0.065509558,-0.337273285,0.002744191,-0.042379946,0.118693411
7,"(0, 1, 1, 0)",0.023229539,-0.181526125,-0.061470032,-0.405267447,-0.161438301,-0.029032558,0.133381188
7,"(0, 1, 1, 0)",-0.002651781,-0.167327374,-0.061406017,-0.416749053,-0.198630303,-0.026690096,0.131309271
7,"(0, 1, 1, 0)",0.047044515,-0.195721552,-0.047218204,-0.441607036,-0.306195095,-0.018698275,0.115806758
7,"(0, 1, 1, 0)",0.027828007,-0.123063445,-0.049289346,-0.282963678,-0.214299857,-0.02390495,0.106387556
7,"(0, 1, 1, 0)",0.009126812,-0.065547602,-0.032114268,-0.119210184,-0.087363536,-0.018410981,0.061458171
7,"(0, 1, 1, 0)",0.007916137,-0.021306507,-0.008435011,-0.028845072,-0.045158066,-0.001786441,0.02005595
7,"(0, 1, 1, 0)",0.023134633,0.041030467,0.034891486,0.077744663,-0.026230201,0.011566371,-0.048734665
7,"(0, 1, 1, 0)",0.007316157,-0.046155209,-0.016495705,-0.032475799,-0.054927505,-0.00044927,0.022996724
7,"(0, 1, 1, 0)",-0.001362429,-0.118634176,-0.054823399,-0.265121907,-0.124761078,-0.024267525,0.110816479
7,"(0, 1, 1, 0)",-0.010551557,-0.171623588,-0.066478253,-0.433350943,-0.143675729,-0.031685114,0.136683524
7,"(0, 1, 1, 0)",-0.053103552,-0.14674665,-0.070658088,-0.389186651,-0.006359704,-0.041951805,0.127983749
