case,time,act_A,act_B,act_C,act_D,x,y,z,del_x,del_y,del_z,qx,qy,qz,qw,act_A_norm,act_B_norm,act_C_norm,act_D_norm,r6d_1,r6d_2,r6d_3,r6d_4,r6d_5,r6d_6,act_A_norm_t1,act_B_norm_t1,act_C_norm_t1,act_D_norm_t1,del_x_t1,del_y_t1,del_z_t1,r6d_1_t1,r6d_2_t1,r6d_3_t1,r6d_4_t1,r6d_5_t1,r6d_6_t1,qx_t1,qy_t1,qz_t1,qw_t1
../raw_mocap_data/Case8.csv,1749911944.6,-0.023304211577848788,0.046556479616149754,0.02176061975004908,0.004226384388064492,0.042485981019999994,-0.08461462736,1.2202919555799998,-0.12017352998,0.03288975314,0.026943309079999846,0.007447623422994303,0.31368042637476173,-0.3482362524667544,0.8833349509006241,-0.28499352030116387,0.569351808977212,0.2661165174279624,0.05168560029918707,0.5606722051545172,-0.6105461585674686,-0.5593568330016884,0.6198908533306827,0.7573520907465204,-0.20531230016448734,-0.2817373365865503,0.5584513116931762,0.2675863058630701,0.051756203787780584,-0.11730123920000002,0.03196223775,0.025614917049999852,0.5701934164399447,-0.6140548100253403,-0.545725350458715,0.6233936976257167,0.7560603917283889,-0.1993814981889036,0.007656179701212117,0.30494606856268763,-0.3491578254145084,0.8860237531422931
../raw_mocap_data/Case8.csv,1749911944.7,-0.02357047304983423,0.04744782442547209,0.021640433646764243,0.004220611068605935,0.03961369024,-0.08368711197,1.2216203476099998,-0.12304582076000001,0.03381726853,0.02827170110999984,0.007238438480037357,0.3223883059652318,-0.34728528438979195,0.8805715850693459,-0.2882497040157775,0.5802523062612481,0.26464672899285474,0.05161499681059355,0.5509174228463389,-0.6069519308539297,-0.5727995695154064,0.6162862825315809,0.7586810725093442,-0.2111735025505707,-0.28499352030116387,0.569351808977212,0.2661165174279624,0.05168560029918707,-0.12017352998,0.03288975314,0.026943309079999846,0.5606722051545172,-0.6105461585674686,-0.5593568330016884,0.6198908533306827,0.7573520907465204,-0.20531230016448734,0.007447623422994303,0.31368042637476173,-0.3482362524667544,0.8833349509006241
../raw_mocap_data/Case8.csv,1749911944.8,-0.02383673452181967,0.048339169234794414,0.02152024754347941,0.004214837749147377,0.03674139946,-0.08275959658,1.2229487396399998,-0.12591811154000002,0.034744783919999994,0.029600093139999825,0.007028642529946943,0.3310689722893002,-0.34630500145622145,0.8777338889081926,-0.29150588773039104,0.591152803545284,0.2631769405577471,0.05154439332200003,0.5409323631074261,-0.6032733404350963,-0.5860490212117894,0.61258120227101,0.7600468883011855,-0.2169631263784,-0.2882497040157775,0.5802523062612481,0.26464672899285474,0.05161499681059355,-0.12304582076000001,0.03381726853,0.02827170110999984,0.5509174228463389,-0.6069519308539297,-0.5727995695154064,0.6162862825315809,0.7586810725093442,-0.2111735025505707,0.007238438480037357,0.3223883059652318,-0.34728528438979195,0.8805715850693459
../raw_mocap_data/Case8.csv,1749911944.9,-0.024102995993805106,0.04923051404411674,0.021400061440194573,0.0042090644296888195,0.033869108679999996,-0.08183208119,1.2242771316699999,-0.12879040232000002,0.03567229931,0.03092848516999982,0.00681825328190476,0.3397216925992807,-0.3452954864131529,0.8748221019512298,-0.29476207144500455,0.60205330082932,0.2617071521226394,0.051473789833406516,0.5307203972803681,-0.5995116293454548,-0.5991007145631914,0.608776863527452,0.761449076969776,-0.2226792168469129,-0.29150588773039104,0.591152803545284,0.2631769405577471,0.05154439332200003,-0.12591811154000002,0.034744783919999994,0.029600093139999825,0.5409323631074261,-0.6032733404350963,-0.5860490212117894,0.61258120227101,0.7600468883011855,-0.2169631263784,0.007028642529946943,0.3310689722893002,-0.34630500145622145,0.8777338889081926
../raw_mocap_data/Case8.csv,1749911945.0,-0.024369257465790547,0.05012185885343907,0.02127987533690974,0.004203291110230262,0.0309968179,-0.08090456580000001,1.2256055236999999,-0.1316626931,0.0365998147,0.03225687719999981,0.006607288495173598,0.34834573650645106,-0.3442568244752212,0.8718364699866349,-0.29801825515961816,0.6129537981133559,0.26023736368753175,0.051403186344813,0.5202849733200299,-0.5956680676842472,-0.6119502428128377,0.6048745507928945,0.7628871650819566,-0.22831984398275507,-0.29476207144500455,0.60205330082932,0.2617071521226394,0.051473789833406516,-0.12879040232000002,0.03567229931,0.03092848516999982,0.5307203972803681,-0.5995116293454548,-0.5991007145631914,0.608776863527452,0.761449076969776,-0.2226792168469129,0.00681825328190476,0.3397216925992807,-0.3452954864131529,0.8748221019512298
../raw_mocap_data/Case8.csv,1749911945.1,-0.02469103191595351,0.04995050579784922,0.020884713794610127,0.004155374139402661,0.03332278251,-0.08166080562000001,1.2244561649299999,-0.12933672849000002,0.03584357488,0.031107518429999814,0.006936683528275896,0.3419316826029253,-0.3452479653794707,0.8739785176165926,-0.3019533221318937,0.6108582751490291,0.25540482607297244,0.05081719672003176,0.5277731336673362,-0.5987348662439743,-0.6024716419241409,0.6082223537260038,0.7615114496459287,-0.22397741066044183,-0.29801825515961816,0.6129537981133559,0.26023736368753175,0.051403186344813,-0.1316626931,0.0365998147,0.03225687719999981,0.5202849733200299,-0.5956680676842472,-0.6119502428128377,0.6048745507928945,0.7628871650819566,-0.22831984398275507,0.006607288495173598,0.34834573650645106,-0.3442568244752212,0.8718364699866349
../raw_mocap_data/Case8.csv,1749911945.2,-0.025012806366116476,0.04977915274225937,0.020489552252310517,0.004107457168575059,0.035648747120000004,-0.08241704544,1.2233068061599999,-0.12701076388000002,0.03508733506,0.029958159659999817,0.007265753790593808,0.3355016196915914,-0.34622294200981796,0.8760796461693648,-0.30588838910416927,0.6087627521847023,0.25057228845841306,0.05023120709525052,0.53513667522077,-0.6017624007333066,-0.5928834218439132,0.6115130893934048,0.7601537664958414,-0.21958595761732944,-0.3019533221318937,0.6108582751490291,0.25540482607297244,0.05081719672003176,-0.12933672849000002,0.03584357488,0.031107518429999814,0.5277731336673362,-0.5987348662439743,-0.6024716419241409,0.6082223537260038,0.7615114496459287,-0.22397741066044183,0.006936683528275896,0.3419316826029253,-0.3452479653794707,0.8739785176165926
../raw_mocap_data/Case8.csv,1749911945.3,-0.025334580816279435,0.04960779968666952,0.0200943907100109,0.004059540197747458,0.03797471173,-0.08317328526000001,1.2221574473899999,-0.12468479927000001,0.03433109524,0.02880880088999982,0.007594483875282435,0.3290558488236026,-0.34718170871852294,0.8781397572715479,-0.3098234560764448,0.6066672292203756,0.2457397508438537,0.04964521747046928,0.54237421897253,-0.6047501041704936,-0.5831873782067949,0.6147461415223264,0.7588143698919094,-0.21514630726311826,-0.30588838910416927,0.6087627521847023,0.25057228845841306,0.05023120709525052,-0.12701076388000002,0.03508733506,0.029958159659999817,0.53513667522077,-0.6017624007333066,-0.5928834218439132,0.6115130893934048,0.7601537664958414,-0.21958595761732944,0.007265753790593808,0.3355016196915914,-0.34622294200981796,0.8760796461693648
../raw_mocap_data/Case8.csv,1749911945.4,-0.025656355266442395,0.04943644663107967,0.019699229167711288,0.004011623226919857,0.04030067634000001,-0.08392952508000001,1.2210080886199999,-0.12235883466,0.033574855419999994,0.027659442119999822,0.007922858391423763,0.32259467178554796,-0.34812422061678344,0.8801587544701474,-0.3137585230487203,0.6045717062560487,0.2409072132292943,0.04905922784568803,0.5494844095110634,-0.6076974170331484,-0.5733853268400908,0.6179209046426872,0.7574935106697331,-0.2106592910336641,-0.3098234560764448,0.6066672292203756,0.2457397508438537,0.04964521747046928,-0.12468479927000001,0.03433109524,0.02880880088999982,0.54237421897253,-0.6047501041704936,-0.5831873782067949,0.6147461415223264,0.7588143698919094,-0.21514630726311826,0.007594483875282435,0.3290558488236026,-0.34718170871852294,0.8781397572715479
../raw_mocap_data/Case8.csv,1749911945.5,-0.02597812971660536,0.04926509357548982,0.019304067625411675,0.003963706256092256,0.04262664095,-0.08468576490000002,1.2198587298499999,-0.12003287005,0.032818615599999997,0.026510083349999825,0.008250861964747265,0.3161183910853227,-0.3490504335768361,0.8821365432370935,-0.31769359002099584,0.602476183291722,0.23607467561473494,0.048473238220906795,0.5564659152748994,-0.6106037873630319,-0.5634791034237117,0.6210367842004838,0.7561914361933229,-0.20612574923527033,-0.3137585230487203,0.6045717062560487,0.2409072132292943,0.04905922784568803,-0.12235883466,0.033574855419999994,0.027659442119999822,0.5494844095110634,-0.6076974170331484,-0.5733853268400908,0.6179209046426872,0.7574935106697331,-0.2106592910336641,0.007922858391423763,0.32259467178554796,-0.34812422061678344,0.8801587544701474
../raw_mocap_data/Case8.csv,1749911945.6,-0.026299904166768324,0.04909374051989997,0.018908906083112062,0.003915789285264654,0.044952605560000004,-0.08544200472,1.2187093710799999,-0.11770690544000001,0.03206237578,0.025360724579999827,0.008578479238349682,0.3096273099379653,-0.3499603042340229,0.8840730309736671,-0.3216286569932714,0.6003806603273951,0.23124213800017557,0.04788724859612555,0.5633174288020186,-0.6134686708694208,-0.5534705631463961,0.6240931966691363,0.7549083903087747,-0.2015465308873199,-0.31769359002099584,0.602476183291722,0.23607467561473494,0.048473238220906795,-0.12003287005,0.032818615599999997,0.026510083349999825,0.5564659152748994,-0.6106037873630319,-0.5634791034237117,0.6210367842004838,0.7561914361933229,-0.20612574923527033,0.008250861964747265,0.3161183910853227,-0.3490504335768361,0.8821365432370935
../raw_mocap_data/Case8.csv,1749911945.7,-0.026621678616931283,0.048922387464310116,0.01851374454081245,0.003867872314437053,0.047278570170000006,-0.08619824454000001,1.2175600123099999,-0.11538094083,0.031306135959999995,0.02421136580999983,0.00890569487341407,0.30312173225146105,-0.3508537899888211,0.8859681270148354,-0.32556372396554695,0.5982851373630684,0.22640960038561622,0.04730125897134431,0.5700376669747077,-0.6162915310310401,-0.5433615803582814,0.6270895696587689,0.7536446132986039,-0.196922493563275,-0.3216286569932714,0.6003806603273951,0.23124213800017557,0.04788724859612555,-0.11770690544000001,0.03206237578,0.025360724579999827,0.5633174288020186,-0.6134686708694208,-0.5534705631463961,0.6240931966691363,0.7549083903087747,-0.2015465308873199,0.008578479238349682,0.3096273099379653,-0.3499603042340229,0.8840730309736671
